Date,SPY,TLT,VXX,LQD,HYG,UNG,GLD,SLV
2000-01-03,91.6171,,,,,,,
2000-01-04,88.0343,,,,,,,
2000-01-05,88.1918,,,,,,,
2000-01-06,86.7744,,,,,,,
2000-01-07,91.8139,,,,,,,
2000-01-10,92.1288,,,,,,,
2000-01-11,91.0265,,,,,,,
2000-01-12,90.1209,,,,,,,
2000-01-13,91.3415,,,,,,,
2000-01-14,92.5816,,,,,,,
2000-01-18,91.8533,,,,,,,
2000-01-19,92.6014,,,,,,,
2000-01-20,91.184,,,,,,,
2000-01-21,90.9871,,,,,,,
2000-01-24,88.4083,,,,,,,
2000-01-25,89.4122,,,,,,,
2000-01-26,88.7036,,,,,,,
2000-01-27,88.3492,,,,,,,
2000-01-28,85.5933,,,,,,,
2000-01-31,87.9162,,,,,,,
2000-02-01,88.7823,,,,,,,
2000-02-02,88.8611,,,,,,,
2000-02-03,90.1997,,,,,,,
2000-02-04,89.8257,,,,,,,
2000-02-07,89.6879,,,,,,,
2000-02-08,90.9084,,,,,,,
2000-02-09,88.9989,,,,,,,
2000-02-10,89.176,,,,,,,
2000-02-11,87.365,,,,,,,
2000-02-14,87.8768,,,,,,,
2000-02-15,88.8709,,,,,,,
2000-02-16,87.5618,,,,,,,
2000-02-17,87.109,,,,,,,
2000-02-18,85.2389,,,,,,,
2000-02-22,85.0224,,,,,,,
2000-02-23,86.0263,,,,,,,
2000-02-24,84.294,,,,,,,
2000-02-25,83.9889,,,,,,,
2000-02-28,85.7507,,,,,,,
2000-02-29,86.5775,,,,,,,
2000-03-01,87.2075,,,,,,,
2000-03-02,87.2665,,,,,,,
2000-03-03,88.9004,,,,,,,
2000-03-06,88.0343,,,,,,,
2000-03-07,86.3315,,,,,,,
2000-03-08,86.2232,,,,,,,
2000-03-09,88.743,,,,,,,
2000-03-10,88.2705,,,,,,,
2000-03-13,87.3059,,,,,,,
2000-03-14,86.0657,,,,,,,
2000-03-15,88.0737,,,,,,,
2000-03-16,92.188,,,,,,,
2000-03-17,92.7973,,,,,,,
2000-03-20,92.3235,,,,,,,
2000-03-21,94.2182,,,,,,,
2000-03-22,94.7905,,,,,,,
2000-03-23,96.4088,,,,,,,
2000-03-24,96.9812,,,,,,,
2000-03-27,95.9549,,,,,,,
2000-03-28,95.4024,,,,,,,
2000-03-29,95.501,,,,,,,
2000-03-30,93.9024,,,,,,,
2000-03-31,94.9682,,,,,,,
2000-04-03,95.5207,,,,,,,
2000-04-04,94.8102,,,,,,,
2000-04-05,94.2182,,,,,,,
2000-04-06,95.0372,,,,,,,
2000-04-07,95.6392,,,,,,,
2000-04-10,95.2642,,,,,,,
2000-04-11,94.9879,,,,,,,
2000-04-12,92.3827,,,,,,,
2000-04-13,91.1,,,,,,,
2000-04-14,85.8897,,,,,,,
2000-04-17,88.8895,,,,,,,
2000-04-18,91.2381,,,,,,,
2000-04-19,90.3895,,,,,,,
2000-04-20,90.8236,,,,,,,
2000-04-24,89.8369,,,,,,,
2000-04-25,93.5669,,,,,,,
